episode,score,epsilon,steps,alpha,end_reason
128,0,0.9160095468444308,8,0.01,crash
129,0,0.9153770083623539,20,0.01,crash
130,0,0.9147449066715012,6,0.01,crash
131,1,0.9141132414702521,37,0.01,crash
132,0,0.9134820124571944,29,0.01,crash
133,0,0.9128512193311241,31,0.01,crash
134,0,0.9122208617910451,35,0.01,crash
135,0,0.9115909395361691,6,0.01,crash
136,0,0.9109614522659156,52,0.01,crash
137,0,0.9103323996799116,20,0.01,crash
138,0,0.9097037814779916,15,0.01,crash
139,0,0.9090755973601972,26,0.01,crash
140,1,0.9084478470267773,8,0.01,crash
141,0,0.9078205301781878,8,0.01,crash
142,1,0.9071936465150913,23,0.01,crash
143,0,0.9065671957383572,28,0.01,crash
144,0,0.9059411775490616,12,0.01,crash
145,1,0.9053155916484867,49,0.01,crash
146,0,0.9046904377381213,28,0.01,crash
147,0,0.90406571551966,86,0.01,crash
148,0,0.9034414246950037,15,0.01,crash
149,0,0.9028175649662589,6,0.01,crash
150,0,0.902194136035738,28,0.01,crash
151,0,0.9015711376059589,7,0.01,crash
152,0,0.9009485693796448,34,0.01,crash
153,0,0.9003264310597245,9,0.01,crash
154,0,0.8997047223493316,8,0.01,crash
155,1,0.8990834429518049,32,0.01,crash
156,0,0.8984625925706878,16,0.01,crash
157,1,0.8978421709097288,32,0.01,crash
158,0,0.8972221776728807,23,0.01,crash
159,0,0.8966026125643007,52,0.01,crash
160,0,0.8959834752883505,8,0.01,crash
161,0,0.8953647655495959,8,0.01,crash
162,1,0.8947464830528065,50,0.01,crash
163,0,0.894128627502956,52,0.01,crash
164,1,0.8935111986052217,39,0.01,crash
165,0,0.8928941960649845,8,0.01,crash
166,1,0.8922776195878289,56,0.01,crash
167,0,0.8916614688795426,56,0.01,crash
168,1,0.8910457436461162,16,0.01,crash
169,0,0.8904304435937438,27,0.01,crash
170,0,0.889815568428822,11,0.01,crash
171,1,0.8892011178579504,26,0.01,crash
172,1,0.8885870915879311,9,0.01,crash
173,2,0.8879734893257687,8,0.01,crash
174,0,0.88736031077867,13,0.01,crash
175,0,0.886747555654044,12,0.01,crash
176,1,0.8861352236595019,32,0.01,crash
